Heuristic,Agartala,Agra,Ahmedabad,Allahabad,Amritsar,Asansol,Bangalore,Baroda,Bhopal,Bhubaneshwar,Bombay,Calcutta,Calicut,Chandigarh,Cochin,Coimbatore,Delhi,Gwalior,Hubli,Hyderabad,Imphal,Indore,Jabalpur,Jaipur,Jamshedpur,Jullundur,Kanpur,Kolhapur,Lucknow,Ludhiana,Madras,Madurai,Meerut,Nagpur,Nasik,Panjim,Patna,Pondicherry,Pune,Ranchi,Shillong,Shimla,Surat,Trivandrum,Varanasi,Vijayawada,Vishakapatnam
Ahmedabad,1913,716,0,979,984,1474,1241,103,497,1405,443,1622,1355,953,1509,1418,778,670,896,882,2183,340,756,540,1398,0,872,728,946,934,1376,1576,838,705,362,850,1307,1454,521,1304,1980,1007,207,1687,1087,1116,1261
Bangalore,1883,1582,1241,1458,2097,1550,0,1140,1146,1198,847,1563,275,1980,366,229,1745,1476,377,501,2165,1101,1162,1564,1424,0,1528,549,1584,2004,288,344,1783,924,881,494,1614,265,736,1413,2053,2019,1047,504,1486,513,800
Bhubaneshwar,687,1105,1405,703,1670,396,1198,1330,930,0,1364,365,1472,1474,1543,1403,1273,1022,1260,838,974,1067,686,1261,282,0,886,1287,883,1546,1001,1420,1268,708,1258,1379,596,1133,1272,344,856,1483,1358,1625,631,691,400
Bombay,1978,1044,443,1164,1413,1548,847,361,662,1364,0,1657,925,1356,1079,999,1153,964,477,622,2265,511,864,922,1446,0,1122,302,1196,1350,1034,1165,1207,689,140,411,1456,1087,120,1375,2086,1407,236,1258,1251,872,1103
Calcutta,330,1164,1622,736,1673,189,1563,1562,1126,365,1657,0,1837,1466,1908,1769,1305,1109,1607,1184,621,1285,866,1360,224,0,921,1618,888,1549,1364,1782,1284,972,1538,1720,471,1494,1578,325,491,1461,1613,1987,628,1054,765
Chandigarh,1626,414,953,772,208,1277,1980,1004,835,1474,1356,1466,2171,0,2314,2196,238,521,1720,1496,1813,897,899,436,1286,0,590,1585,594,90,2000,2321,214,1092,1233,1723,999,2116,1392,1179,1589,55,1133,2477,857,1632,1592
Cochin,2221,1927,1509,1822,2418,1906,366,1414,1487,1543,1079,1908,154,2314,0,141,2083,1822,615,862,2498,1422,1523,1889,1780,0,1886,781,1945,2333,556,204,2124,1283,1149,671,1980,444,988,1775,2398,2357,1305,180,1852,871,1143
Delhi,1502,180,778,580,403,1119,1745,813,599,1273,1153,1305,1941,238,2083,1962,0,285,1493,1259,1715,673,667,238,1110,0,392,1365,417,285,1762,2086,61,855,1023,1504,854,1879,1177,1000,1492,275,940,2244,680,1395,1364
Hyderabad,1514,1091,882,962,1628,1129,501,780,664,838,622,1184,742,1496,862,728,1259,984,424,0,1804,655,662,1097,1007,0,1027,458,1084,1528,517,832,1294,424,574,540,1146,623,506,973,1660,1533,731,1005,998,250,504
Indore,1582,542,340,680,997,1142,1101,279,170,1067,511,1285,1276,897,1422,1308,673,455,823,655,1857,0,423,467,1062,0,615,692,690,911,1172,1445,722,377,371,832,996,1272,512,971,1659,942,357,1589,779,855,951
Jaipur,1596,222,540,627,533,1181,1564,577,438,1261,922,1360,1743,436,1889,1774,238,251,1288,1097,1833,467,592,0,1147,0,455,1149,512,444,1611,1907,298,724,797,1287,945,1720,955,1039,1614,486,704,2055,740,1263,1280
Kanpur,1142,245,872,189,784,737,1528,859,462,886,1122,921,1758,590,1886,1755,392,216,1348,1027,1379,615,368,455,720,0,0,1256,75,661,1491,1855,383,604,982,1394,490,1618,1106,610,1161,603,963,2032,293,1108,1020
Lucknow,1093,294,946,181,795,701,1584,934,535,883,1196,888,1818,594,1945,1812,417,284,1414,1084,1322,690,422,512,696,0,75,1326,0,671,1537,1908,398,662,1056,1463,441,1665,1178,588,1102,600,1038,2087,265,1152,1046
Madras,1671,1589,1376,1388,2140,1380,288,1273,1175,1001,1034,1364,526,2000,556,425,1762,1481,610,517,1945,1172,1126,1611,1255,0,1491,762,1537,2037,0,419,1793,909,1035,744,1489,136,916,1264,1852,2034,1202,624,1394,386,606
Nagpur,1290,680,705,555,1241,859,924,625,292,708,689,972,1156,1092,1283,1151,855,572,768,424,1576,377,242,724,757,0,604,711,662,1133,909,1254,884,0,567,840,793,1029,621,686,1398,1125,651,1428,611,542,580
Nasik,1856,908,362,1025,1300,1422,881,265,522,1258,140,1538,996,1233,1149,1056,1023,826,535,574,2141,371,729,797,1324,0,982,371,1056,1232,1035,1214,1076,567,0,501,1321,1104,165,1248,1957,1282,167,1326,1114,823,1026
Panjim,2050,1371,850,1387,1800,1652,494,762,943,1379,411,1720,517,1723,671,603,1504,1277,140,540,2341,832,1069,1287,1534,0,1394,141,1463,1728,744,776,1554,840,501,0,1629,757,337,1488,2189,1771,643,851,1451,739,1032
Patna,652,732,1307,332,1206,283,1614,1271,826,596,1456,471,1877,999,1980,1840,854,700,1546,1146,892,996,593,945,331,0,490,1504,441,1084,1489,1897,826,793,1321,1629,0,1624,1406,253,678,992,1351,2095,220,1116,904
Pondicherry,1798,1708,1454,1519,2251,1514,265,1352,1286,1133,1087,1494,443,2116,444,325,1879,1600,633,623,2069,1272,1251,1720,1389,0,1618,799,1665,2151,136,288,1911,1029,1104,757,1624,0,971,1399,1982,2152,1271,494,1528,518,740
Pune,1902,1054,521,1128,1464,1478,736,428,644,1272,120,1578,835,1392,988,900,1177,966,376,506,2191,512,818,955,1371,0,1106,208,1178,1393,916,1062,1229,621,165,337,1406,971,0,1306,2018,1440,317,1166,1208,755,995
